"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_001000",". Total Electricity Generation by all Sources","13459.20671","GWh","Normal","","10","Total Electricity Generation by all sources"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_002000","......1 Electricity Generation by Hydel","4728.500466","GWh","Normal","","20","Electricity Generation by Hydel"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","2126.0618","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","0","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)","262.962957","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","1165.870809","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","2436.7609","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","1998.393","GWh","Normal","","80","Electricity Generation by Nuclear"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_009000","......8 Electricity imported from Iran","47.645034","GWh","Normal","","90","Electricity Imported from Iran"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_010000","......9 Electricity Generation by Mixed","0","GWh","Normal","","100","Electricity Generation by Mixed"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_011000","......10 Electricity Generation by Wind","515.731984","GWh","Normal","","110","Electricity Generation by Wind"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_012000","......11 Electricity Generation by bagasse","59.738077","GWh","Normal","","120","Electricity Generation by bagasse"
"Generation of Electricity by Sector","30-Jun-2024","TS_GP_RLS_ELECGEN_M.E_013000","......12 Electricity Generation by Solar","117.541684","GWh","Normal","","130","Electricity Generation by Solar"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_001000",". Total Electricity Generation by all Sources","12616.953","GWh","Normal","","10","Total Electricity Generation by all sources"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_002000","......1 Electricity Generation by Hydel","3906.273","GWh","Normal","","20","Electricity Generation by Hydel"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","1754.268","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","0","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)","61.942","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","1109.681","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","2747.549","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","2360.023","GWh","Normal","","80","Electricity Generation by Nuclear"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_009000","......8 Electricity imported from Iran","49.961644","GWh","Normal","","90","Electricity Imported from Iran"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_010000","......9 Electricity Generation by Mixed","0","GWh","Normal","","100","Electricity Generation by Mixed"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_011000","......10 Electricity Generation by Wind","445.438","GWh","Normal","","110","Electricity Generation by Wind"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_012000","......11 Electricity Generation by bagasse","56.942","GWh","Normal","","120","Electricity Generation by bagasse"
"Generation of Electricity by Sector","30-May-2024","TS_GP_RLS_ELECGEN_M.E_013000","......12 Electricity Generation by Solar","124.874","GWh","Normal","","130","Electricity Generation by Solar"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_001000",". Total Electricity Generation by all Sources","8639.33","GWh","Normal","","10","Total Electricity Generation by all sources"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_002000","......1 Electricity Generation by Hydel","2070.347","GWh","Normal","","20","Electricity Generation by Hydel"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","901.733","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","0","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)",".005","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","974.751","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","2157.171","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","2042.656","GWh","Normal","","80","Electricity Generation by Nuclear"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_009000","......8 Electricity imported from Iran","37.094","GWh","Normal","","90","Electricity Imported from Iran"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_010000","......9 Electricity Generation by Mixed","0","GWh","Normal","","100","Electricity Generation by Mixed"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_011000","......10 Electricity Generation by Wind","286.976","GWh","Normal","","110","Electricity Generation by Wind"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_012000","......11 Electricity Generation by bagasse","55.85","GWh","Normal","","120","Electricity Generation by bagasse"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_013000","......12 Electricity Generation by Solar","112.747","GWh","Normal","","130","Electricity Generation by Solar"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_001000",". Total Electricity Generation by all Sources","8023.26","GWh","Normal","","10","Total Electricity Generation by all sources"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_002000","......1 Electricity Generation by Hydel","2216.808","GWh","Normal","","20","Electricity Generation by Hydel"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","861.773","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","0","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)","0","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","795.076","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","1658.442","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","2069.6","GWh","Normal","","80","Electricity Generation by Nuclear"
